t,X,Y,Z,p
1885.0,967170.2863550648,5625697.070525372,2845171.0155760604,20570513.689277414
1890.0,967159.0679600411,5625699.282209018,2845170.4559508557,20570108.82589852
1895.0,967146.7685195819,5625702.286460067,2845168.6966259307,20569708.52856567
1900.0,967133.8376129642,5625706.163777872,2845165.4255905203,20569312.623246305
1905.0,967120.7866299016,5625710.909199588,2845160.4788097804,20568920.912938643
1910.0,967108.1387131903,5625716.432786226,2845153.8562815413,20568533.196688168
1915.0,967096.3775509974,5625722.5684265895,2845145.7220366555,20568149.28896195
1920.0,967085.9000309922,5625729.090097366,2845136.388082916,20567769.03751757
1925.0,967076.9773905817,5625735.7339877635,2845126.283864084,20567392.33805042
1930.0,967069.7286660238,5625742.2243229635,2845115.9142234502,20567019.14421486
1935.0,967064.1090395036,5625748.300358663,2845105.809986555,20566649.47206082
1940.0,967059.9142251268,5625753.741904248,2845096.476000286,20566283.398465473
1945.0,967056.800464852,5625758.39087621,2845088.3417146467,20565921.05371712
1950.0,967054.318177308,5625762.16677201,2845081.7191446936,20565562.608970437
1955.0,967051.9559658635,5625765.074549722,2845076.7723277984,20565208.25978448
1960.0,967049.1906780618,5625767.20414222,2845073.5012661326,20564858.20733025
1965.0,967045.5386160095,5625768.721653534,2845071.7419263134,20564512.6390769
1970.0,967040.602884601,5625769.853099215,2845071.182296258,20564171.71081422
1975.0,967034.112242547,5625770.862282377,2845071.3929274026,20563835.531738408
1980.0,967025.9476531051,5625772.024971077,2845071.8689724575,20563504.154032163
1985.0,967016.1539356483,5625773.601904685,2845072.0796035896,20563177.567936372
1990.0,967004.9353777855,5625775.8132714825,2845071.5199735505,20562855.702781893
1995.0,966992.635737859,5625778.81715572,2845069.7606334267,20562538.433876418
2000.0,966979.7045955615,5625782.694063777,2845066.4895697585,20562225.59457852
2005.0,966966.6533445665,5625787.439044043,2845061.542746285,20561916.9923935
2010.0,966954.005134787,5625792.962171858,2845054.920160836,20561612.427539684
2015.0,966942.2436639678,5625799.09735206,2845046.7858456816,20561311.71219839
2020.0,966931.7658308788,5625805.618577503,2845037.451811309,20561014.68859653
2025.0,966922.842884463,5625812.262052104,2845027.3475051913,20560721.24418475
2030.0,966915.5938718222,5625818.7520128675,2845016.9777749786,20560431.322454736
2035.0,966909.9739842314,5625824.8277232675,2845006.873450798,20560144.92835961
2040.0,966905.7789422412,5625830.26899565,2844997.539383898,20559862.127820816
2045.0,966902.6649909801,5625834.917744371,2844989.4050279907,20559583.041373562
2050.0,966900.1825486624,5625838.693459865,2844982.7824008293,20559307.832566295
2055.0,966897.8202146976,5625841.601088976,2844977.8355412018,20559036.692233235
2060.0,966895.0548295116,5625843.730550244,2844974.564451279,20558769.820154905
2065.0,966891.4026856346,5625845.247931666,2844972.805096262,20558507.405871563
2070.0,966886.4668768607,5625846.379232627,2844972.245461372,20558249.610494472
2075.0,966879.9761503648,5625847.3882415285,2844972.456094336,20557996.551262874
2080.0,966871.8114585605,5625848.550714606,2844972.9321435033,20557748.290329102
2085.0,966862.0176117313,5625850.127383455,2844973.1427764553,20557504.828846928
2090.0,966850.7988910412,5625852.338433392,2844972.5831415816,20557266.106927685
2095.0,966838.4990516619,5625855.341950809,2844970.82378626,20557032.00946424
2100.0,966825.5676737018,5625859.21844911,2844967.552694335,20556802.37725893
2105.0,966812.516154793,5625863.962987912,2844962.6058281297,20556577.022382334
2110.0,966799.867651965,5625869.48565689,2844955.9831854724,20556355.746283874
2115.0,966788.1058725398,5625875.620376916,2844947.848800052,20556138.35891184
2120.0,966777.627726387,5625882.141157008,2844938.514685049,20555924.697004557
2125.0,966768.7044739852,5625888.784215799,2844928.410291648,20555714.639795367
2130.0,966761.4551732796,5625895.273802116,2844918.0404718607,20555508.120623488
2135.0,966755.8350246337,5625901.349187203,2844907.9360603974,20555305.13333719
2140.0,966751.6397550436,5625906.790186373,2844898.6019128687,20555105.732876644
2145.0,966748.5256128076,5625911.438711845,2844890.4674866963,20554910.029983394
2150.0,966746.0430157253,5625915.214247026,2844883.8448023284,20554718.18054788
2155.0,966743.6805592474,5625918.12172753,2844878.8978999695,20554530.37062141
2160.0,966740.9150766834,5625920.251057564,2844875.6267817914,20554346.798535187
2165.0,966737.2628509874,5625921.76830909,2844873.867411577,20554167.655846488
2170.0,966732.3269648537,5625922.899465327,2844873.3077718527,20553993.108943906
2175.0,966725.8361539224,5625923.908299965,2844873.5184066365,20553823.283079557
2180.0,966717.6713597636,5625925.070557414,2844873.9944599164,20553658.25036213
2185.0,966707.8773835723,5625926.646961495,2844874.205094687,20553498.022863038
