t,X,Y,Z
11890.0,951726.5243622552,5633323.15090641,2835272.632444226
11895.0,951714.2050475408,5633326.118427326,2835270.871602084
11900.0,951701.2506560329,5633329.954713519,2835267.5977457818
11905.0,951688.1729715707,5633334.655926212,2835262.6466990216
11910.0,951675.4958459341,5633340.133561508,2835256.0184596386
11915.0,951663.7039217264,5633346.2231138535,2835247.8771999567
11920.0,951653.1951930773,5633352.700178965,2835238.5351968477
11925.0,951644.2420475672,5633359.302419976,2835228.4222644274
11930.0,951636.9646027556,5633365.755246622,2835218.0436813533
11935.0,951631.3189474178,5633371.798693818,2835207.9307309324
11940.0,951627.1014387948,5633377.212868561,2835198.5886954083
11945.0,951623.9686355782,5633381.839474203,2835190.4473951138
11950.0,951621.4709157258,5633385.597305178,2835183.8191141626
11955.0,951619.0964885148,5633388.490195464,2835178.868031372
11960.0,951616.3214925494,5633390.606642805,2835175.5941489064
11965.0,951612.6612755485,5633392.111145545,2835173.8332919213
11970.0,951607.7178359884,5633393.228100177,2835173.27317927
11975.0,951601.2187824361,5633394.219835866,2835173.483992052
11980.0,951593.0439968626,5633395.360936113,2835173.960447624
11985.0,951583.2373920578,5633396.911361066,2835174.1712603937
11990.0,951572.0026124935,5633399.091001403,2835173.611147758
11995.0,951559.6830997765,5633402.058154519,2835171.8502904703
12000.0,951546.7284742681,5633405.894029814,2835168.576406009
12005.0,951533.6505237299,5633410.594799766,2835163.625316663
12010.0,951520.9731070037,5633416.071974847,2835156.9970202697
12015.0,951509.1808762036,5633422.16106558,2835148.855690563
12020.0,951498.671836487,5633428.637683901,2835139.513607103
12025.0,951489.7183869,5633435.239507706,2835129.4005876994
12030.0,951482.4406557851,5633441.691958604,2835119.0219153585
12035.0,951476.7947409581,5633447.735079319,2835108.9088779553
12040.0,951472.5770060783,5633453.14897984,2835099.5667620804
12045.0,951469.4440130009,5633457.775361389,2835091.425391763
12050.0,951466.9461392858,5633461.533011367,2835084.7970538023
12055.0,951464.5715902876,5633464.425752501,2835079.8459284278
12060.0,951461.7964975496,5633466.542068164,2835076.572017804
12065.0,951458.1361992803,5633468.046440621,2835074.8111456744
12070.0,951453.1926829282,5633469.163250147,2835074.251028205
12075.0,951446.6935455949,5633470.154811146,2835074.4618428
12080.0,951438.5186584701,5633471.295695242,2835074.9383024704
12085.0,951428.711925301,5633472.845854773,2835075.149117053
12090.0,951417.4769841429,5633475.025177432,2835074.5889996
12095.0,951405.157273438,5633477.991962738,2835072.8281271677
12100.0,951392.2024139462,5633481.827427126,2835069.5542145474
12105.0,951379.1241973506,5633486.5277543245,2835064.6030826187
12110.0,951366.4464895547,5633492.004469174,2835057.9747292157
12115.0,951354.6539521822,5633498.093098281,2835049.8333294876
12120.0,951344.1446014183,5633504.569269796,2835040.4911656776
12125.0,951335.1908477743,5633511.170676383,2835030.378059295
12130.0,951327.9128303737,5633517.622751519,2835019.99929769
12135.0,951322.2666560737,5633523.665545744,2835009.886173308
12140.0,951318.0486949504,5633529.07917203,2835000.543977085
12145.0,951314.9155120236,5633533.705329478,2834992.402536747
12150.0,951312.4174844543,5633537.462798452,2834985.7741417787
12155.0,951310.0428136766,5633540.355390429,2834980.822973822
12160.0,951307.2676241721,5633542.47157441,2834977.5490350407
12165.0,951303.6072446399,5633543.9758165805,2834975.788147767
12170.0,951298.6636515021,5633545.0924809985,2834975.22802548
12175.0,951292.1644303943,5633546.083867298,2834975.4388418887
12180.0,951283.989441726,5633547.224535239,2834975.915305656
12185.0,951274.1825802029,5633548.774429344,2834976.126122052
12190.0,951262.9474774633,5633550.953434316,2834975.5659997817
12195.0,951250.6275687853,5633553.919851802,2834973.805112205
12200.0,951237.6724753267,5633557.75490527,2834970.531171428
